序号,传输方向,时间标识,名称,帧ID(靠右对齐),帧格式,帧类型,数据长度,数据(HEX)
49,接收,13:12:57:837,,0x1ceb56f4,数据帧,扩展帧,08,02 0c 4b 4c 49 45 01 00 
50,接收,13:12:57:847,,0x1ceb56f4,数据帧,扩展帧,08,03 00 00 1e 01 01 01 00 
51,接收,13:12:57:857,,0x1ceb56f4,数据帧,扩展帧,08,04 00 01 ff 00 00 00 00 
52,接收,13:12:57:867,,0x1ceb56f4,数据帧,扩展帧,08,05 00 00 00 00 00 00 00 
53,接收,13:12:57:877,,0x1ceb56f4,数据帧,扩展帧,08,06 00 00 00 00 00 00 07 
54,接收,13:12:57:887,,0x1ceb56f4,数据帧,扩展帧,08,07 ff ff ff ff ff ff ff 
55,接收,13:12:57:897,,0x1cecf456,数据帧,扩展帧,08,13 31 00 07 ff 00 02 00 
56,接收,13:12:58:078,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
57,接收,13:12:58:078,,0x1cec56f4,数据帧,扩展帧,08,10 31 00 07 ff 00 02 00 
58,接收,13:12:58:087,,0x1cecf456,数据帧,扩展帧,08,11 07 01 ff ff 00 02 00 
59,接收,13:12:58:087,,0x1ceb56f4,数据帧,扩展帧,08,01 00 01 00 06 a6 04 18 
60,接收,13:12:58:097,,0x1ceb56f4,数据帧,扩展帧,08,02 0c 4b 4c 49 45 01 00 
61,接收,13:12:58:107,,0x1ceb56f4,数据帧,扩展帧,08,03 00 00 1e 01 01 01 00 
62,接收,13:12:58:117,,0x1ceb56f4,数据帧,扩展帧,08,04 00 01 ff 00 00 00 00 
63,接收,13:12:58:127,,0x1ceb56f4,数据帧,扩展帧,08,05 00 00 00 00 00 00 00 
64,接收,13:12:58:137,,0x1ceb56f4,数据帧,扩展帧,08,06 00 00 00 00 00 00 07 
65,接收,13:12:58:147,,0x1ceb56f4,数据帧,扩展帧,08,07 ff ff ff ff ff ff ff 
66,接收,13:12:58:157,,0x1cecf456,数据帧,扩展帧,08,13 31 00 07 ff 00 02 00 
67,接收,13:12:58:327,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
68,接收,13:12:58:577,,0x1cec56f4,数据帧,扩展帧,08,10 0d 00 02 ff 00 06 00 
69,接收,13:12:58:577,,0x1cecf456,数据帧,扩展帧,08,11 02 01 ff ff 00 06 00 
70,接收,13:12:58:577,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
71,接收,13:12:58:577,,0x1ceb56f4,数据帧,扩展帧,08,01 a2 01 b8 0b 6f 01 10 
72,接收,13:12:58:588,,0x1ceb56f4,数据帧,扩展帧,08,02 0e 64 4f 02 89 0c ff 
73,接收,13:12:58:597,,0x1cecf456,数据帧,扩展帧,08,13 0d 00 02 ff 00 06 00 
74,接收,13:12:58:728,,0x1807f456,数据帧,扩展帧,07,00 00 00 00 00 00 00 
75,接收,13:12:58:828,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
76,接收,13:12:58:828,,0x100af456,数据帧,扩展帧,01,aa 
77,接收,13:12:58:828,,0x1808f456,数据帧,扩展帧,08,58 1b d0 07 d8 0e 96 0f 
78,接收,13:12:58:838,,0x100956f4,数据帧,扩展帧,01,00 
79,接收,13:12:59:078,,0x100af456,数据帧,扩展帧,01,00 
80,接收,13:12:59:078,,0x100956f4,数据帧,扩展帧,01,aa 
81,接收,13:12:59:238,,0x1807f456,数据帧,扩展帧,07,00 00 00 00 00 00 00 
82,接收,13:12:59:328,,0x100956f4,数据帧,扩展帧,01,aa 
83,接收,13:12:59:328,,0x100af456,数据帧,扩展帧,01,00 
84,接收,13:12:59:577,,0x100956f4,数据帧,扩展帧,01,aa 
85,接收,13:12:59:577,,0x100af456,数据帧,扩展帧,01,00 
86,接收,13:12:59:834,,0x100956f4,数据帧,扩展帧,01,aa 
87,接收,13:12:59:834,,0x100af456,数据帧,扩展帧,01,00 
88,接收,13:13:00:086,,0x100956f4,数据帧,扩展帧,01,aa 
89,接收,13:13:00:086,,0x100af456,数据帧,扩展帧,01,00 
90,接收,13:13:00:336,,0x100956f4,数据帧,扩展帧,01,aa 
91,接收,13:13:00:336,,0x100af456,数据帧,扩展帧,01,00 
92,接收,13:13:00:586,,0x100956f4,数据帧,扩展帧,01,aa 
93,接收,13:13:00:586,,0x100af456,数据帧,扩展帧,01,00 
94,接收,13:13:00:836,,0x100956f4,数据帧,扩展帧,01,aa 
95,接收,13:13:00:836,,0x100af456,数据帧,扩展帧,01,00 
96,接收,13:13:01:086,,0x100956f4,数据帧,扩展帧,01,aa 
97,接收,13:13:01:096,,0x100af456,数据帧,扩展帧,01,00 
98,接收,13:13:01:336,,0x100956f4,数据帧,扩展帧,01,aa 
99,接收,13:13:01:346,,0x100af456,数据帧,扩展帧,01,00 
100,接收,13:13:01:586,,0x100956f4,数据帧,扩展帧,01,aa 
101,接收,13:13:01:606,,0x100af456,数据帧,扩展帧,01,00 
102,接收,13:13:01:836,,0x100956f4,数据帧,扩展帧,01,aa 
103,接收,13:13:01:846,,0x100af456,数据帧,扩展帧,01,00 
104,接收,13:13:02:086,,0x100956f4,数据帧,扩展帧,01,aa 
105,接收,13:13:02:096,,0x100af456,数据帧,扩展帧,01,00 
106,接收,13:13:02:336,,0x100956f4,数据帧,扩展帧,01,aa 
107,接收,13:13:02:346,,0x100af456,数据帧,扩展帧,01,00 
108,接收,13:13:02:586,,0x100956f4,数据帧,扩展帧,01,aa 
109,接收,13:13:02:596,,0x100af456,数据帧,扩展帧,01,00 
110,接收,13:13:02:836,,0x100956f4,数据帧,扩展帧,01,aa 
111,接收,13:13:02:846,,0x100af456,数据帧,扩展帧,01,00 
112,接收,13:13:03:086,,0x100956f4,数据帧,扩展帧,01,aa 
113,接收,13:13:03:106,,0x100af456,数据帧,扩展帧,01,00 
114,接收,13:13:03:336,,0x100956f4,数据帧,扩展帧,01,aa 
115,接收,13:13:03:356,,0x100af456,数据帧,扩展帧,01,00 
116,接收,13:13:03:586,,0x100956f4,数据帧,扩展帧,01,aa 
117,接收,13:13:03:606,,0x100af456,数据帧,扩展帧,01,00 
118,接收,13:13:03:836,,0x100956f4,数据帧,扩展帧,01,aa 
119,接收,13:13:03:856,,0x100af456,数据帧,扩展帧,01,00 
120,接收,13:13:04:086,,0x100956f4,数据帧,扩展帧,01,aa 
121,接收,13:13:04:336,,0x100956f4,数据帧,扩展帧,01,aa 
122,接收,13:13:04:577,,0x100956f4,数据帧,扩展帧,01,aa 
123,接收,13:13:04:835,,0x100956f4,数据帧,扩展帧,01,aa 
124,接收,13:13:05:086,,0x100956f4,数据帧,扩展帧,01,aa 
125,接收,13:13:05:336,,0x100956f4,数据帧,扩展帧,01,aa 
126,接收,13:13:05:586,,0x100956f4,数据帧,扩展帧,01,aa 
127,接收,13:13:05:836,,0x100956f4,数据帧,扩展帧,01,aa 
128,接收,13:13:06:086,,0x100956f4,数据帧,扩展帧,01,aa 
129,接收,13:13:06:326,,0x100956f4,数据帧,扩展帧,01,aa 
130,接收,13:13:06:586,,0x100956f4,数据帧,扩展帧,01,aa 
131,接收,13:13:06:836,,0x100956f4,数据帧,扩展帧,01,aa 
132,接收,13:13:07:086,,0x100956f4,数据帧,扩展帧,01,aa 
133,接收,13:13:07:336,,0x100956f4,数据帧,扩展帧,01,aa 
134,接收,13:13:07:586,,0x100956f4,数据帧,扩展帧,01,aa 
135,接收,13:13:07:826,,0x100956f4,数据帧,扩展帧,01,aa 
136,接收,13:13:08:086,,0x100956f4,数据帧,扩展帧,01,aa 
137,接收,13:13:08:336,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
138,接收,13:13:08:586,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
139,接收,13:13:08:836,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
140,接收,13:13:09:076,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
141,接收,13:13:09:336,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
142,接收,13:13:09:586,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
143,接收,13:13:09:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
144,接收,13:13:10:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
145,接收,13:13:10:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
146,接收,13:13:10:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
147,接收,13:13:10:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
148,接收,13:13:11:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
149,接收,13:13:11:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
150,接收,13:13:11:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
151,接收,13:13:11:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
152,接收,13:13:12:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
153,接收,13:13:12:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
154,接收,13:13:12:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
155,接收,13:13:12:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
156,接收,13:13:13:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
157,接收,13:13:13:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
158,接收,13:13:13:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
159,接收,13:13:13:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
160,接收,13:13:14:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
161,接收,13:13:14:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
162,接收,13:13:14:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
163,接收,13:13:14:830,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
164,接收,13:13:15:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
165,接收,13:13:15:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
166,接收,13:13:15:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
167,接收,13:13:15:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
168,接收,13:13:16:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
169,接收,13:13:16:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
170,接收,13:13:16:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
171,接收,13:13:16:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
172,接收,13:13:17:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
173,接收,13:13:17:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
174,接收,13:13:17:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
175,接收,13:13:17:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
176,接收,13:13:18:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
177,接收,13:13:18:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
178,接收,13:13:18:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
179,接收,13:13:18:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
180,接收,13:13:19:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
181,接收,13:13:19:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
182,接收,13:13:19:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
183,接收,13:13:19:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
184,接收,13:13:20:083,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
185,接收,13:13:20:333,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
186,接收,13:13:20:583,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
187,接收,13:13:20:833,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
188,接收,13:13:21:083,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
189,接收,13:13:21:333,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
190,接收,13:13:21:583,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
191,接收,13:13:21:833,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
192,接收,13:13:22:083,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
193,接收,13:13:22:333,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
194,接收,13:13:22:583,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
195,接收,13:13:22:834,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
196,接收,13:13:23:084,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
197,接收,13:13:23:334,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
198,接收,13:13:23:584,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
199,接收,13:13:23:834,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
200,接收,13:13:24:084,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
201,接收,13:13:24:334,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
202,接收,13:13:24:584,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
203,接收,13:13:24:834,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
204,接收,13:13:25:076,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
205,接收,13:13:25:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
206,接收,13:13:25:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
207,接收,13:13:25:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
208,接收,13:13:26:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
209,接收,13:13:26:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
210,接收,13:13:26:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
211,接收,13:13:26:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
212,接收,13:13:27:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
213,接收,13:13:27:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
214,接收,13:13:27:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
215,接收,13:13:27:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
216,接收,13:13:28:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
217,接收,13:13:28:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
218,接收,13:13:28:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
219,接收,13:13:28:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
220,接收,13:13:29:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
221,接收,13:13:29:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
222,接收,13:13:29:577,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
223,接收,13:13:29:827,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
224,接收,13:13:30:077,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
225,接收,13:13:30:327,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
226,接收,13:13:30:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
227,接收,13:13:30:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
228,接收,13:13:31:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
229,接收,13:13:31:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
230,接收,13:13:31:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
231,接收,13:13:31:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
232,接收,13:13:32:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
233,接收,13:13:32:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
234,接收,13:13:32:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
235,接收,13:13:32:828,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
236,接收,13:13:33:078,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
237,接收,13:13:33:328,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
238,接收,13:13:33:578,,0x081e56f4,数据帧,扩展帧,04,f0 f4 f0 fc 
